tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,rbversion,oid
ztf,59673.48740739981,1919487400715015234,2,1919487400715,20.0953,1,1919,0.560174,16.4126,16.5258,0.035326,0.0258,290.58093,15.4577452,0.528571,,16.5118,0.0275,,False,True,True,correction_1.0.6,0.0,1.921455985715015e+18,13.355009,100.0,0.002113772,t17_f5_c3,ZTF18aaxypqy
ztf,59673.48740739981,1919487400715025041,2,1919487400715,20.0865,1,1919,1.12309,16.4545,16.3782,0.112512,0.0213,290.5810795,15.4576723,0.454286,,16.364,0.0235,,False,True,True,correction_1.0.6,0.0,1.946424005715015e+18,13.357471,100.0,0.0064921295,t17_f5_c3,ZTF18aaxypqy
ztf,59673.48740739981,1919487400715025042,2,1919487400715,20.0865,1,1919,0.519144,16.3138,16.406,0.032441,0.0234,290.5809212,15.4577529,0.644286,,16.388,0.0248,,False,True,True,correction_1.0.6,0.0,1.946424005715015e+18,13.348837,100.0,0.002114019,t17_f5_c3,ZTF18aaxypqy
ztf,59675.45549769979,1921455490715015034,2,1921455490715,20.385,1,1921,0.5744,16.333,16.2554,0.180566,0.0194,290.5806626,15.4579256,0.451429,,16.1635,0.0195,,False,True,True,correction_1.0.6,0.0,1.921455985715015e+18,13.350079,100.0,0.011573565,t17_f5_c3,ZTF18aaxypqy
ztf,59675.45598379988,1921455985715015002,2,1921455985715,20.184725,1,1921,0.88547814,16.010954,15.9936,0.13367572,0.0167,290.5808355,15.4576201,0.5985714,0.9223831,15.988,0.0178,540120257.0,True,True,True,correction_1.0.6,0.0,,13.332718,100.0,0.011343791,t17_f5_c3,ZTF18aaxypqy
ztf,59675.4926967998,1921492690715015028,1,1921492690715,20.5537,1,1921,2.2408,18.5043,18.1439,0.198554,0.0585,290.5811878,15.4573394,0.188571,,18.126,0.0659,,False,False,True,correction_1.0.6,0.0,1.923454640715015e+18,,,,t17_f5_c3,ZTF18aaxypqy
ztf,59677.45464120014,1923454640715015020,2,1923454640715,20.09,1,1923,1.22989,16.0808,16.0756,0.02636,0.0176,290.5810136,15.4575659,0.571429,,16.0591,0.0188,,False,True,True,correction_1.0.6,0.0,1.929428175715015e+18,13.332032,100.0,0.0020962285,t17_f5_c3,ZTF18aaxypqy
ztf,59677.45464120014,1923454640715015025,2,1923454640715,20.090029,1,1923,1.0062896,16.276257,16.1683,0.09679804,0.0179,290.5809058,15.4575837,0.33571428,0.75906754,16.0603,0.0183,590120207.0,True,True,True,correction_1.0.6,0.0,,13.346351,100.0,0.0065148477,t17_f5_c3,ZTF18aaxypqy
ztf,59677.45512730023,1923455125715015001,2,1923455125715,20.1051,1,1923,0.740588,15.923,16.0455,0.093176,0.0174,290.5808635,15.4576745,0.69,,16.0487,0.0189,,False,True,True,correction_1.0.6,0.0,1.929428175715015e+18,13.324971,100.0,0.008513194,t17_f5_c3,ZTF18aaxypqy
ztf,59683.42817129986,1929428175715015006,2,1929428175715,19.528929,1,1929,0.83572996,16.183807,15.8451,0.12279484,0.0173,290.5808877,15.4576564,0.36571428,0.08262202,15.8055,0.019,540120257.0,True,True,True,correction_1.0.6,0.0,,13.346364,100.0,0.008999175,t17_f5_c3,ZTF18aaxypqy
ztf,59684.42563659977,1930425630715015027,2,1930425630715,19.5547,1,1930,1.73295,17.0923,17.2306,0.225983,0.0567,290.5811038,15.4574556,0.3,,17.1258,0.0614,,False,False,False,correction_1.0.6,0.0,1.946424005715015e+18,,,,t17_f5_c3,ZTF18aaxypqy
ztf,59689.45225689979,1935452255715015000,2,1935452255715,19.2226,1,1935,0.291394,15.9575,16.3489,0.133902,0.0264,290.5808552,15.4578287,0.61,,16.3054,0.0291,,False,True,True,correction_1.0.6,0.0,1.946424005715015e+18,13.328078,100.0,0.011885522,t17_f5_c3,ZTF18aaxypqy
ztf,59689.47915509995,1935479155715015003,1,1935479155715,19.4866,1,1935,0.369274,17.8558,18.1579,0.14504,0.0984,290.5808725,15.4578091,0.835714,,18.1693,0.1228,,False,True,False,correction_1.0.6,0.0,1.946424005715015e+18,15.074775,100.0,0.011196373,t17_f5_c3,ZTF18aaxypqy
ztf,59694.44322919985,1940443225715015000,1,1940443225715,19.7791,1,1940,1.0793,18.0252,18.2691,0.131743,0.0773,290.5810915,15.4578257,0.562857,,18.2374,0.088,,False,True,False,correction_1.0.6,0.0,1.946424005715015e+18,15.08695,100.0,0.008798885,t17_f5_c3,ZTF18aaxypqy
