tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,rbversion,oid
ztf,58680.44959490001,926449592615015009,1,926449592615,19.32037,1,926,2.4190974,17.48498,17.5246,0.06966189,0.0669,296.2030639,31.6678012,0.85571426,1.0,17.4716,0.0813,686120126.0,False,False,False,bulk_1.0.0,0.0,9.29289152615015e+17,t17_f5_c3,ZTF18aayhtxj
ztf,58682.22317129979,928223172615015019,1,928223172615,20.088215,1,928,2.2335038,18.10875,18.1332,0.096104324,0.0658,296.2029838,31.6678089,0.86142856,0.9999999,18.0983,0.0802,686120126.0,False,False,False,bulk_1.0.0,0.0,9.29289152615015e+17,t17_f5_c3,ZTF18aayhtxj
ztf,58682.264953699894,928264952615015021,2,928264952615,20.099176,1,928,2.281968,17.805851,17.8421,0.07973177,0.0578,296.2029868,31.667805,0.7714286,0.93198335,17.7977,0.0692,686120226.0,False,False,False,bulk_1.0.0,0.0,9.29289152615015e+17,t17_f5_c3,ZTF18aayhtxj
ztf,58683.23146989988,929231462615015016,2,929231462615,20.22823,1,929,2.4105122,17.917004,18.1432,0.070364796,0.0697,296.2030202,31.6678291,0.7728571,0.0020051,18.1854,0.0899,686120226.0,False,False,False,bulk_1.0.0,0.0,9.29289152615015e+17,t17_f5_c3,ZTF18aayhtxj
ztf,58683.26016200008,929260162615015020,2,929260162615,20.370934,1,929,2.4357433,18.219126,18.563,0.10315647,0.0927,296.2030056,31.6678457,0.55285716,6.23e-06,18.6516,0.1241,686120226.0,False,False,False,bulk_1.0.0,0.0,9.29289152615015e+17,t17_f5_c3,ZTF18aayhtxj
ztf,58683.28915510001,929289152615015014,1,929289152615,19.531094,1,929,2.3175247,18.359816,18.3338,0.086260736,0.1305,296.20301,31.6678214,0.7828571,0.9999882,18.2441,0.1532,686120126.0,False,False,False,bulk_1.0.0,0.0,9.30250252615015e+17,t17_f5_c3,ZTF18aayhtxj
ztf,58684.25025459984,930250252615015022,2,930250252615,19.873137,1,930,2.2477486,18.075958,18.3651,0.07892481,0.1009,296.2029784,31.6677975,0.7285714,0.9999729,18.4974,0.143,686120226.0,False,False,False,bulk_1.0.0,0.0,9.31376602615015e+17,t17_f5_c3,ZTF18aayhtxj
ztf,58684.27893520007,930278932615015031,1,930278932615,19.986351,1,930,2.341506,18.375774,18.4907,0.08159383,0.0923,296.2030568,31.6677659,0.79285717,0.9999998,18.4236,0.1098,686120126.0,False,False,False,bulk_1.0.0,0.0,9.31376602615015e+17,t17_f5_c3,ZTF18aayhtxj
ztf,58685.37660880014,931376602615015014,1,931376602615,20.409103,1,931,2.3896928,18.725561,18.9772,0.11258305,0.1063,296.2030366,31.6678182,0.78571427,0.99998724,18.9474,0.1295,686120126.0,True,False,False,bulk_1.0.0,0.0,0.0,t17_f5_c3,ZTF18aayhtxj
ztf,58730.280254600104,976280252615015039,1,976280252615,20.4391,1,976,2.27615,18.8488,18.4399,0.16603,0.0669,296.2030425,31.6677543,0.458571,,18.2333,0.0682,,False,False,False,bulk_1.0.0,0.0,1.000265242615015e+18,t17_f5_c3,ZTF18aayhtxj
ztf,58754.2652431,1000265242615015024,1,1000265242615,20.32788,1,1000,2.105453,18.885916,18.8951,0.13304262,0.0961,296.202959,31.6677783,0.51857144,0.9999993,18.9051,0.1208,686120126.0,True,False,False,bulk_1.0.0,0.0,0.0,t17_f5_c3,ZTF18aayhtxj
ztf,58954.42976849992,1200429762615015014,1,1200429762615,19.75084,1,1200,2.3151445,18.732513,18.7468,0.1260554,0.1265,296.2030548,31.6677573,0.7214286,0.99999994,18.7076,0.1549,686120126.0,False,False,False,bulk_1.0.0,0.0,1.226432712615015e+18,t17_f5_c3,ZTF18aayhtxj
