tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,drb,rfid,rbversion,oid
ztf,59255.5612269002,1501561223215015005,2,1501561223215,20.0067,1,1501,0.622714,16.6571,16.8016,0.029974,0.025,288.5273315,13.5143697,0.797143,16.6504,0.0261,False,True,True,correction_0.0.1,0.0,,14.504186,100.0,0.0041264705,,,t17_f5_c3,ZTF18aawtbst
ztf,59255.5612269002,1501561223215015006,2,1501561223215,20.0067,1,1501,0.735402,16.6571,16.5472,0.029974,0.0207,288.5273837,13.5144112,0.781429,16.5558,0.0243,False,True,True,correction_0.0.1,0.0,,14.504186,100.0,0.0041264705,,,t17_f5_c3,ZTF18aawtbst
ztf,59255.56473380001,1501564734515015010,2,1501564734515,19.7067,1,1501,0.601433,16.6761,16.7395,0.093,0.0283,288.527249,13.5143229,0.738571,16.7325,0.0336,False,True,True,correction_0.0.1,0.0,,14.450372,100.0,0.011972688,,,t17_f5_c3,ZTF18aawtbst
ztf,59255.56715280004,1501567154515015007,2,1501567154515,19.3311,1,1501,0.504798,16.625,16.766,0.163656,0.0341,288.5272756,13.5143795,0.491429,16.7611,0.0414,False,True,True,correction_0.0.1,0.0,,14.443657,0.014527519,0.02194798,,,t17_f5_c3,ZTF18aawtbst
ztf,59256.54671300016,1502546713215015005,2,1502546713215,19.9755,1,1502,0.683442,16.5363,16.7788,0.165111,0.0234,288.5273274,13.514332,0.467143,16.6547,0.0253,False,True,True,correction_0.0.1,0.0,,14.486736,0.019106949,0.025000583,,,t17_f5_c3,ZTF18aawtbst
ztf,59256.54671300016,1502546713215015006,2,1502546713215,19.9755,1,1502,0.594686,16.5739,16.5467,0.027426,0.0203,288.5273512,13.5144667,0.562857,16.5505,0.0237,False,True,True,correction_0.0.1,0.0,,14.492346,100.0,0.004032189,,,t17_f5_c3,ZTF18aawtbst
ztf,59256.55284720007,1502552843215015005,2,1502552843215,20.099728,1,1502,0.7384798,16.535477,16.5203,0.061116003,0.0192,288.5270226,13.5143185,0.8042857,16.5349,0.0226,True,True,True,correction_0.0.1,0.0,,14.486611,100.0,0.009259952,0.95586455,539120232.0,t17_f5_c3,ZTF18aawtbst
ztf,59621.56041669985,1867560414515020011,2,1867560414515,19.3201,-1,1867,0.630356,17.1223,17.7573,0.157148,0.0754,288.5269852,13.5144787,0.405714,17.8249,0.098,False,True,True,correction_1.0.6,0.0,1.88253967451501e+18,14.711945,100.0,0.017067386,,,t17_f5_c3,ZTF18aawtbst
ztf,59621.56525459979,1867565254515010007,2,1867565254515,19.1046,-1,1867,0.892715,17.2948,17.9595,0.114752,0.1097,288.5269176,13.5145382,0.487143,17.9722,0.1379,False,True,True,correction_1.0.6,0.0,1.86756767451501e+18,14.694759,100.0,0.010465113,,,t17_f5_c3,ZTF18aawtbst
ztf,59621.56525459979,1867565254515020006,2,1867565254515,19.1054,-1,1867,0.898283,17.2987,17.9482,0.116926,0.1085,288.5269161,13.5145388,0.484286,17.9412,0.1339,False,True,True,correction_1.0.6,0.0,1.88253967451501e+18,14.694404,100.0,0.010621663,,,t17_f5_c3,ZTF18aawtbst
ztf,59621.56767359981,1867567674515010012,2,1867567674515,18.657072,-1,1867,1.0658363,17.485367,18.0697,0.21535017,0.142,288.5268633,13.5144253,0.42285714,18.2423,0.2091,True,True,True,correction_1.0.6,0.0,,14.678934,100.0,0.016239483,0.12441236,540120245.0,t17_f5_c3,ZTF18aawtbst
ztf,59621.56767359981,1867567674515020004,2,1867567674515,18.6594,-1,1867,1.08022,17.5008,18.0761,0.220196,0.1425,288.5268598,13.5144209,0.418571,18.2506,0.2103,False,True,True,correction_1.0.6,0.0,1.88253967451501e+18,14.67778,100.0,0.016353168,,,t17_f5_c3,ZTF18aawtbst
ztf,59622.56231479999,1868562314515010007,2,1868562314515,19.4247,-1,1868,1.11822,17.0492,17.8203,0.150942,0.0791,288.5268442,13.5144852,0.362857,17.8345,0.0979,False,True,True,correction_1.0.6,0.0,1.88253967451501e+18,14.720188,100.0,0.01766873,,,t17_f5_c3,ZTF18aawtbst
ztf,59636.53707179986,1882537074515010006,2,1882537074515,19.3108,-1,1882,0.332394,17.401,17.6407,0.124539,0.057,288.5270762,13.5145036,0.595714,17.634,0.0682,False,True,True,correction_1.0.6,0.0,1.88253967451501e+18,14.685572,100.0,0.010212553,,,t17_f5_c3,ZTF18aawtbst
ztf,59636.53967589978,1882539674515010006,2,1882539674515,19.424553,-1,1882,0.8620333,17.260632,17.5532,0.10946639,0.0515,288.5269655,13.5143316,0.6471428,17.6475,0.0674,True,True,True,correction_1.0.6,0.0,,14.697928,100.0,0.010332357,0.8629305,540120245.0,t17_f5_c3,ZTF18aawtbst
ztf,59636.54486110015,1882544864515010008,2,1882544864515,19.625282,-1,1882,0.94744706,17.008541,17.3258,0.06845064,0.0428,288.5268984,13.5144209,0.63285714,17.3347,0.0517,True,True,True,correction_1.0.6,0.0,,14.725047,100.0,0.008355647,0.61600685,540120245.0,t17_f5_c3,ZTF18aawtbst
ztf,59787.270092600025,2033270094515010002,1,2033270094515,20.8036,-1,2033,0.0601,19.465,19.6081,0.138488,0.1416,288.5271753,13.5144282,0.895714,19.6256,0.1825,False,True,False,dev,0.0,2.062217963215015e+18,18.60295,0.0568853,0.06260245,,,t17_f5_c3,ZTF18aawtbst
ztf,59787.27056710003,2033270563215010001,1,2033270563215,20.8137,-1,2033,0.249895,19.3221,19.4453,0.177427,0.1204,288.5272587,13.514432,0.572857,19.2063,0.1225,False,True,False,dev,0.0,2.062217963215015e+18,18.664991,0.09323377,0.09686712,,,t17_f5_c3,ZTF18aawtbst
ztf,59787.29843749991,2033298433215010002,2,2033298433215,20.4531,-1,2033,0.119506,16.121,16.3251,0.085183,0.0129,288.5271558,13.5144814,0.627143,16.3065,0.0145,False,True,False,dev,0.0,2.062217963215015e+18,14.994237,0.015763026,0.03017503,,,t17_f5_c3,ZTF18aawtbst
ztf,59789.29101849999,2035291013215010002,1,2035291013215,20.6977,-1,2035,0.195597,19.3449,19.6196,0.208036,0.1547,288.5272383,13.5144236,0.781429,19.3271,0.1501,False,True,False,dev,0.0,2.062217963215015e+18,18.652742,0.10685587,0.10997032,,,t17_f5_c3,ZTF18aawtbst
ztf,59791.21297449991,2037212973215010004,2,2037212973215,20.4993,-1,2037,0.166296,16.2684,16.3977,0.074345,0.0141,288.5271261,13.5144486,0.744286,16.3833,0.0159,False,True,False,dev,0.0,2.062217963215015e+18,14.946478,100.0,0.022003047,,,t17_f5_c3,ZTF18aawtbst
ztf,59792.28820599988,2038288204515010003,1,2038288204515,20.1899,-1,2038,0.288164,19.7056,19.3746,0.195014,0.1995,288.527222,13.5143825,0.838571,19.2183,0.2207,False,True,False,dev,0.0,2.062217963215015e+18,18.509531,0.060208984,0.06480939,,,t17_f5_c3,ZTF18aawtbst
ztf,59794.27396989986,2040273963215010010,2,2040273963215,20.5831,-1,2040,0.065266,16.3013,16.5376,0.120413,0.0155,288.5271848,13.514441,0.641429,16.5214,0.0172,False,True,False,dev,0.0,2.062217963215015e+18,14.936929,0.024057437,0.034270857,,,t17_f5_c3,ZTF18aawtbst
ztf,59794.28968749987,2040289684515010005,2,2040289684515,20.3888,-1,2040,0.224258,16.3053,16.4228,0.075161,0.0145,288.5271509,13.5144155,0.742857,16.4186,0.0164,False,True,False,dev,0.0,2.062217963215015e+18,14.853067,100.0,0.01972875,,,t17_f5_c3,ZTF18aawtbst
ztf,59794.294976899866,2040294974515010004,1,2040294974515,20.3469,-1,2040,0.286186,20.0158,20.3303,0.188674,0.3797,288.5272448,13.5144742,0.944286,20.1541,0.4113,False,True,False,dev,0.0,2.062217963215015e+18,18.423372,0.037466127,0.043525167,,,t17_f5_c3,ZTF18aawtbst
ztf,59797.31031250022,2043310313215010002,1,2043310313215,20.764,-1,2043,0.327321,19.7125,20.0176,0.233772,0.2121,288.5272848,13.5144256,0.657143,19.845,0.2299,False,True,False,dev,0.0,2.062217963215015e+18,18.499277,0.073068425,0.0764722,,,t17_f5_c3,ZTF18aawtbst
ztf,59797.35248839995,2043352484515010009,2,2043352484515,20.7254,-1,2043,0.114674,16.6496,16.7541,0.109935,0.0167,288.5271738,13.5145056,0.607143,16.7019,0.0178,False,True,False,dev,0.0,2.062217963215015e+18,14.778258,100.0,0.019615512,,,t17_f5_c3,ZTF18aawtbst
ztf,59813.29039350012,2059290394515015001,1,2059290394515,20.2373,1,2059,0.838174,19.7716,20.3868,0.245466,0.3621,288.526964,13.5143128,0.692857,20.2933,0.422,False,True,False,dev,0.0,2.062217963215015e+18,17.969074,0.044328254,0.046663865,,,t17_f5_c3,ZTF18aawtbst
