tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,drb,rfid,oid
ztf,60321.56795139983,2567567952615015000,2,2567567952615,19.45333,1,2567,2.003472,16.178837,16.1934,0.0682956,0.0204,269.391924,10.7090144,0.37857142,t17_f5_c3,16.1232,0.0225,True,False,True,23.12.x,0.0,,,,,0.559737,537120226.0,ZTF19aadyxsh
ztf,60321.57509260019,2567575092615015000,2,2567575092615,18.863844,1,2567,2.0058377,16.344593,16.1563,0.06436221,0.0254,269.3919449,10.7091783,0.53571427,t17_f5_c3,16.1375,0.0302,True,False,True,23.12.x,0.0,,,,,0.28658882,537120226.0,ZTF19aadyxsh
ztf,60322.57047449984,2568570472615015001,2,2568570472615,19.3939,1,2568,2.17159,16.2563,16.2383,0.028669,0.0218,269.3919819,10.7090476,0.238571,t17_f5_c3,16.3444,0.0286,False,False,True,23.12.x,0.0,2.569568482615015e+18,,,,,,ZTF19aadyxsh
ztf,60322.57532409998,2568575322615015001,2,2568575322615,19.097,1,2568,2.00371,16.3172,16.2472,0.076784,0.0275,269.3918963,10.708942,0.235714,t17_f5_c3,16.2597,0.0339,False,False,True,23.12.x,0.0,2.569568482615015e+18,,,,,,ZTF19aadyxsh
ztf,60323.56848380016,2569568482615015003,2,2569568482615,19.501505,1,2569,2.024385,16.099749,16.1674,0.08878624,0.0193,269.3919497,10.7091314,0.24,t17_f5_c3,16.1804,0.0231,True,False,True,23.12.x,0.0,,,,,0.0502671,537120226.0,ZTF19aadyxsh
ztf,60325.57211809978,2571572112615015002,2,2571572112615,19.4209,1,2571,1.6739,16.209,16.2939,0.028553,0.0239,269.3918403,10.7090662,0.312857,t17_f5_c3,16.3931,0.0315,False,False,True,23.12.x,0.0,2.571574492615015e+18,,,,,,ZTF19aadyxsh
ztf,60325.57449069992,2571574492615015000,2,2571574492615,19.278526,1,2571,2.132891,16.845938,16.4943,0.14417045,0.0333,269.3919566,10.708992,0.18857142,t17_f5_c3,16.3886,0.0366,True,False,True,23.12.x,0.0,,,,,0.00801003,537120226.0,ZTF19aadyxsh
ztf,60327.56831019977,2573568312615015001,2,2573568312615,19.441908,1,2573,1.5838854,16.405884,16.1934,0.10857627,0.0228,269.3917807,10.7089739,0.28857142,t17_f5_c3,16.1694,0.0264,True,False,True,23.12.x,0.0,,,,,0.3720071,537120226.0,ZTF19aadyxsh
ztf,60327.577974500135,2573577972615015000,2,2573577972615,18.580238,1,2573,1.5985141,16.245481,16.4532,0.05056837,0.0455,269.3918285,10.7091661,0.5914286,t17_f5_c3,16.4719,0.0577,True,False,True,23.12.x,0.0,,,,,0.02838698,537120226.0,ZTF19aadyxsh
ztf,60353.51480320003,2599514802615015001,1,2599514802615,20.085945,1,2599,0.9301236,18.489908,18.1728,0.14761676,0.0669,269.3916139,10.709067,0.6457143,t17_f5_c3,18.0966,0.0773,True,True,True,23.12.x,0.0,,16.344055,0.0050836317,0.020454755,0.99214745,537120126.0,ZTF19aadyxsh
