ztf_oid,antares_id,bands
ZTF21abifctk,ANT20247mjfua82b2j7,"R,g"
ZTF20aasbhpn,ANT2020lw6ds,R
ZTF18abzwmjx,ANT2019xmv2m,R
ZTF24aarwqit,ANT2026mcs4ai0us9ap,R
ZTF20acxztft,ANT2020afkpzpq,"R,g"
ZTF18abjnqos,ANT2020aqlta,R
ZTF20abnbdma,ANT2020nhufi,g
ZTF20abitovc,ANT2020dycuc,R
ZTF25aatytbp,ANT20268ni10s8nm4oc,R
ZTF26aabktxt,ANT2020bu3wq,g
ZTF23aaqoelf,ANT2025thva9sa517jy,R
ZTF19aatxfey,ANT2020iabe6,R
ZTF23aabdulk,ANT2023mzfnv95hi2ys,R
ZTF20aadyeye,ANT2020ltmn6,"R,g"
ZTF19actlcbw,ANT2019eenaa,"R,g"
ZTF20acwhxah,ANT2020afgvdzy,"R,g"
ZTF18absduyy,ANT2020cefms,R
ZTF19aawqhst,ANT2020a4ahg,R
ZTF19aasiqpk,ANT2020god6c,R
ZTF25aabuvol,ANT2019xlfby,R
ZTF19achvuzh,ANT20206zpf6,g
ZTF19aanwfqd,ANT2019vuaa2,"R,g"
ZTF20aalrsnh,ANT2020atcks,R
ZTF19aaskmyg,ANT2023363v54gqpdso,g
ZTF23aamikhf,ANT20232hxg6sw7sqcv,g
ZTF19aakjrhi,ANT2018epmsm,R
ZTF22aacnmdi,ANT2022boiyw,R
ZTF26aahdubh,ANT2026zjvoet25avii,R
ZTF20aafnsco,ANT2020tbhae,"R,g"
ZTF18admccem,ANT2020oxzum,g
ZTF18acdwwql,ANT2019drx22,"R,g"
ZTF20adijixv,ANT2020cpfig,R
ZTF18adjzocv,ANT2018cutq,g
ZTF19adnuazm,ANT2020lzmoo,"R,g"
ZTF25aarbdxd,ANT2025aeg1hxti72qn,R
ZTF19abhftdw,ANT2020b6jjc,R
ZTF19aavvdbt,ANT2019vaux4,g
ZTF21aaxlemc,ANT2021lyyts,R
ZTF21abiqamd,ANT2021twg22,g
ZTF26aahqsvy,ANT2026hifqd9t48rnt,g
ZTF20aaspiic,ANT2020clelm,R
ZTF19aaimjpx,ANT2020bhggi,R
ZTF23aapglyj,ANT20230g9udmt5hxhl,g
ZTF19aargopz,ANT2020a34hy,"R,g"
ZTF19acvwoty,ANT2019cbawc,"R,g"
ZTF19abcqgrn,ANT2020a4hg4,R
ZTF20acchrch,ANT20205sczu,g
ZTF18aasrquu,ANT2020hvmwm,g
ZTF19abkgtka,ANT2020pkfoy,"R,g"
ZTF18adrvopa,ANT2020b6fvi,"R,g"
ZTF22abwtwmr,ANT20235jg34ih3hsrz,"R,g"
ZTF23absmvjg,ANT2020bkmpe,"R,g"
ZTF22aalxauv,ANT2020eac6a,R
ZTF19aaaqfkn,ANT2020atmp2,g
ZTF23aafamip,ANT2023fuma22pv33u1,R
ZTF23aaqoanu,ANT2026pmejbcb4ndol,R
ZTF19acnpwqg,ANT2019gwhkg,"R,g"
ZTF25acfvedw,ANT2021dscwa,R
ZTF19aaimnkr,ANT2020bkod4,R
ZTF22abjkjxq,ANT2025msfe4v5kb7ex,R
ZTF19aamcvrv,ANT2020atis2,R
ZTF22aajiyou,ANT2022l6qozzqm6b9j,R
ZTF25aaibkod,ANT2019hkfx4,g
ZTF21aadrtze,ANT2021ca4xw,"R,g"
ZTF19aamucll,ANT2020kcbs6,R
ZTF18adkxyuq,ANT2020av5ki,R
ZTF21abdrwiv,ANT2022bwb1z1tkowl0,"R,g"
ZTF18adrzzco,ANT2018hzw6g,R
ZTF18accxdxv,ANT2020hrgou,R
ZTF18ablpedo,ANT2018esuvy,R
ZTF20aaehwdh,ANT2020tul6a,g
ZTF19aaipeup,ANT2019jm2jw,R
ZTF18adbldgs,ANT2020gas24,R
ZTF19aaiohcc,ANT2020qi7uq,"R,g"
ZTF20aawidyq,ANT2020b6mz2,R
ZTF22abxpcmv,ANT2022wxj347wz6y5u,R
ZTF18adrsbfw,ANT2018dysfq,R
ZTF18abtlrlc,ANT2020cwl4i,R
ZTF19abicmkq,ANT2020es5ao,R
ZTF20abbxttg,ANT2020aef2dfq,R
ZTF20abaypho,ANT2021p7tna,R
ZTF21acjmutc,ANT20216kboy,"R,g"
ZTF19adjjedz,ANT2020elwoq,R
ZTF19aagoqav,ANT2020edpoo,R
ZTF20abbgege,ANT2024fez4acy9277c,R
ZTF19abtrvsq,ANT2019m77wg,g
ZTF19abfzbyl,ANT2019l2nhs,g
ZTF19aauemyj,ANT2020b5k6y,R
ZTF24abtjwxa,ANT2026a58w78yxezm2,R
ZTF19aapqynq,ANT2019u6wka,R
ZTF23absdnkt,ANT2023d9pilqpv7xji,"R,g"
ZTF19abcpzmn,ANT2019q446i,R
ZTF19adaiytx,ANT2019bjzdc,R
ZTF25abhnpcf,ANT2019jpg66,g
ZTF19aapfqce,ANT2019uf2v4,"R,g"
ZTF19aasdxtd,ANT2024yvvh9vt1aqz3,g
ZTF18aazyhkf,ANT2021den3i,"R,g"
ZTF19aargoyq,ANT2020cboum,R
ZTF20abapeub,ANT2020chkn6,"R,g"
ZTF22abcbszw,ANT2020aeqecuq,g
ZTF22acbrhgw,ANT2026v62d7scgvfcu,R
ZTF18abcvdzg,ANT2020muszo,R
ZTF21aagtywe,ANT2021dkada,R
ZTF19aaoiawb,ANT2019vvdq2,"R,g"
ZTF23aacpqee,ANT2025s3lz8wxci2bo,g
ZTF23aablfwp,ANT2024jwyfoums650u,"R,g"
ZTF19aaqscgu,ANT20203hx42,R
ZTF22abnfbik,ANT20227bq78z17b7cq,"R,g"
